EID,Xvalue,Yvalue,pressure,touchMajor,touchMinor,pointerID,fingerOrientation,actionType,time
0,1073.3203125,1860.0,1.0,1.953125,1.953125,0,0.0,0.0,2017-4-17 17:35:29:450
1,1072.265625,1858.75,1.0,2.44140625,2.44140625,0,0.0,,null
2,1071.7601318359377,1858.15087890625,1.0,2.44140625,2.44140625,0,0.0,2.0,2017-4-17 17:35:29:471
3,1067.34375,1848.75,1.0,2.9296875,1.953125,0,0.0,,null
4,1056.896484375,1819.251953125,1.0,2.9296875,1.953125,0,0.0,2.0,2017-4-17 17:35:29:487
5,1055.390625,1815.0,1.0,2.9296875,1.953125,0,0.0,,null
6,1040.2734375,1745.0,1.0,3.41796875,3.41796875,0,0.0,,null
7,1036.0341796875,1725.3699951171875,1.0,3.41796875,3.41796875,0,0.0,2.0,2017-4-17 17:35:29:504
8,1029.375,1633.75,1.0,3.90625,3.90625,0,0.0,,null
9,1027.7991943359377,1527.7589111328125,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-17 17:35:29:521
10,1027.265625,1491.875,1.0,3.41796875,1.953125,0,0.0,,null
11,1049.4140625,1335.0,1.0,3.90625,3.90625,0,0.0,,null
12,1054.0985107421877,1301.820556640625,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-17 17:35:29:538
13,1101.4453125,1183.125,1.0,0.9765625,0.48828125,0,0.0,,null
14,1131.5654296875,1118.1329345703123,1.0,0.9765625,0.48828125,0,0.0,2.0,2017-4-17 17:35:29:555
15,1147.5,1083.75,1.0,0.9765625,0.48828125,0,0.0,2.0,2017-4-17 17:35:29:565
16,1147.5,1083.75,1.0,0.9765625,0.48828125,0,0.0,1.0,2017-4-17 17:35:29:565
17,833.203125,1965.0,1.0,1.953125,1.953125,0,0.0,0.0,2017-4-17 17:35:34:205
18,833.203125,1965.0,1.0,4.8828125,3.41796875,0,0.0,,null
19,833.203125,1965.0,1.0,4.8828125,3.41796875,0,0.0,2.0,2017-4-17 17:35:34:223
20,832.1484375,1966.25,1.0,4.8828125,3.41796875,0,0.0,,null
21,831.4266967773438,1966.25,1.0,4.8828125,3.41796875,0,0.0,2.0,2017-4-17 17:35:34:240
22,831.09375,1966.25,1.0,4.8828125,3.41796875,0,0.0,,null
23,830.56640625,1966.25,1.0,4.8828125,3.41796875,0,0.0,2.0,2017-4-17 17:35:34:257
24,832.1484375,1965.0,1.0,3.41796875,1.953125,0,0.0,2.0,2017-4-17 17:35:34:274
25,833.203125,1963.125,1.0,0.48828125,0.48828125,0,0.0,,null
26,833.73046875,1962.1875,1.0,0.48828125,0.48828125,0,0.0,2.0,2017-4-17 17:35:34:290
27,833.73046875,1962.1875,1.0,0.48828125,0.48828125,0,0.0,1.0,2017-4-17 17:35:34:296
28,917.2265625,741.875,1.0,3.41796875,3.41796875,0,0.0,0.0,2017-4-17 17:36:2:016
29,916.171875,743.125,1.0,4.8828125,3.41796875,0,0.0,,null
30,915.9571533203124,743.3795166015625,1.0,4.8828125,3.41796875,0,0.0,2.0,2017-4-17 17:36:2:034
31,915.1171875,743.75,1.0,5.37109375,3.90625,0,0.0,,null
32,912.4799194335938,745.0286865234375,1.0,5.37109375,3.90625,0,0.0,2.0,2017-4-17 17:36:2:050
33,911.25,745.625,1.0,5.37109375,3.90625,0,0.0,,null
34,906.328125,750.0,1.0,5.37109375,3.90625,0,0.0,,null
35,905.6092529296876,750.6390380859375,1.0,5.37109375,3.90625,0,0.0,2.0,2017-4-17 17:36:2:067
36,902.109375,753.75,1.0,4.8828125,3.41796875,0,0.0,,null
37,900.0,755.625,1.0,4.8828125,3.41796875,0,0.0,2.0,2017-4-17 17:36:2:084
38,899.296875,758.125,1.0,4.8828125,3.41796875,0,0.0,,null
39,897.890625,760.3125,1.0,4.8828125,3.41796875,0,0.0,2.0,2017-4-17 17:36:2:101
40,898.2421875,761.875,1.0,4.39453125,1.953125,0,0.0,,null
41,899.296875,763.75,1.0,1.953125,1.953125,0,0.0,2.0,2017-4-17 17:36:2:117
42,899.296875,763.75,1.0,1.953125,1.953125,0,0.0,1.0,2017-4-17 17:36:2:119
43,1101.4453125,1045.0,1.0,2.9296875,1.953125,0,0.0,0.0,2017-4-17 17:36:48:571
44,1101.4453125,1043.75,1.0,3.41796875,3.41796875,0,0.0,,null
45,1100.5643310546877,1043.2279052734377,1.0,3.41796875,3.41796875,0,0.0,2.0,2017-4-17 17:36:48:598
46,1100.390625,1043.125,1.0,3.41796875,3.41796875,0,0.0,,null
47,1100.390625,1041.875,1.0,3.90625,3.90625,0,0.0,,null
48,1100.390625,1041.5655517578123,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-17 17:36:48:615
49,1101.4453125,1040.625,1.0,3.41796875,3.41796875,0,0.0,,null
50,1101.9119873046877,1040.2100830078123,1.0,3.41796875,3.41796875,0,0.0,2.0,2017-4-17 17:36:48:632
51,1102.1484375,1040.0,1.0,2.9296875,1.953125,0,0.0,2.0,2017-4-17 17:36:48:642
52,1102.1484375,1040.0,1.0,2.9296875,1.953125,0,0.0,1.0,2017-4-17 17:36:48:643
53,1158.3984375,1065.625,1.0,1.953125,1.953125,0,0.0,0.0,2017-4-17 17:37:39:895
54,1157.34375,1066.875,1.0,3.41796875,3.41796875,0,0.0,,null
55,1156.2890625,1068.125,1.0,3.41796875,3.41796875,0,0.0,,null
56,1156.1844482421875,1068.2489013671877,1.0,3.41796875,3.41796875,0,0.0,2.0,2017-4-17 17:37:39:924
57,1154.1796875,1068.75,1.0,3.90625,3.90625,0,0.0,,null
58,1153.125,1069.0625,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-17 17:37:39:941
59,1151.3671875,1070.625,1.0,3.90625,3.90625,0,0.0,,null
60,1149.48779296875,1072.8524169921877,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-17 17:37:39:958
61,1149.2578125,1073.125,1.0,3.90625,3.90625,0,0.0,,null
62,1146.4453125,1075.625,1.0,0.48828125,0.48828125,0,0.0,,null
63,1145.7010498046875,1076.28662109375,1.0,0.48828125,0.48828125,0,0.0,2.0,2017-4-17 17:37:39:975
64,1145.7010498046875,1076.28662109375,1.0,0.48828125,0.48828125,0,0.0,1.0,2017-4-17 17:37:39:978
65,1184.4140625,1080.625,1.0,1.953125,1.953125,0,0.0,0.0,2017-4-17 17:38:33:112
66,1185.46875,1081.875,1.0,2.9296875,2.9296875,0,0.0,,null
67,1186.4696044921875,1083.0611572265623,1.0,2.9296875,2.9296875,0,0.0,2.0,2017-4-17 17:38:33:139
68,1186.5234375,1083.125,1.0,2.9296875,2.9296875,0,0.0,,null
69,1187.2265625,1083.75,1.0,2.9296875,2.9296875,0,0.0,,null
70,1187.4935302734375,1083.9873046875,1.0,2.9296875,2.9296875,0,0.0,2.0,2017-4-17 17:38:33:155
71,1188.28125,1085.625,1.0,2.9296875,2.9296875,0,0.0,,null
72,1189.1121826171875,1087.5946044921877,1.0,2.9296875,2.9296875,0,0.0,2.0,2017-4-17 17:38:33:172
73,1189.3359375,1088.125,1.0,1.46484375,1.46484375,0,0.0,2.0,2017-4-17 17:38:33:181
74,1189.3359375,1088.125,1.0,1.46484375,1.46484375,0,0.0,1.0,2017-4-17 17:38:33:182
75,1211.484375,1033.125,1.0,3.41796875,3.41796875,0,0.0,0.0,2017-4-17 17:39:34:867
76,1210.4296875,1033.125,1.0,3.90625,3.90625,0,0.0,,null
77,1210.282958984375,1033.125,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-17 17:39:34:884
78,1209.375,1031.875,1.0,3.90625,3.90625,0,0.0,,null
79,1208.856689453125,1031.2607421875,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-17 17:39:34:900
80,1208.3203125,1030.625,1.0,3.90625,3.90625,0,0.0,,null
81,1206.4544677734375,1030.625,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-17 17:39:34:917
82,1206.2109375,1030.625,1.0,3.90625,3.90625,0,0.0,,null
83,1204.453125,1030.625,1.0,3.90625,3.90625,0,0.0,,null
84,1203.9151611328125,1030.625,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-17 17:39:34:934
85,1201.2890625,1030.625,1.0,3.41796875,3.41796875,0,0.0,,null
86,1200.10693359375,1031.465576171875,1.0,3.41796875,3.41796875,0,0.0,2.0,2017-4-17 17:39:34:951
87,1199.53125,1031.875,1.0,1.46484375,1.46484375,0,0.0,2.0,2017-4-17 17:39:34:961
88,1199.53125,1031.875,1.0,1.46484375,1.46484375,0,0.0,1.0,2017-4-17 17:39:34:961
89,1168.2421875,1071.875,1.0,1.953125,1.953125,0,0.0,0.0,2017-4-17 17:40:21:068
90,1167.1875,1073.125,1.0,3.41796875,3.41796875,0,0.0,,null
91,1166.484375,1073.75,1.0,4.8828125,3.41796875,0,0.0,,null
92,1166.4815673828125,1073.7525634765623,1.0,4.8828125,3.41796875,0,0.0,2.0,2017-4-17 17:40:21:096
93,1164.375,1075.0,1.0,4.8828125,3.41796875,0,0.0,,null
94,1163.4066162109375,1075.5738525390623,1.0,4.8828125,3.41796875,0,0.0,2.0,2017-4-17 17:40:21:113
95,1162.265625,1075.625,1.0,4.8828125,3.41796875,0,0.0,,null
96,1161.3941650390625,1076.6578369140623,1.0,4.8828125,3.41796875,0,0.0,2.0,2017-4-17 17:40:21:129
97,1161.2109375,1076.875,1.0,4.8828125,3.41796875,0,0.0,,null
98,1160.5078125,1078.125,1.0,2.9296875,1.953125,0,0.0,,null
99,1160.3240966796875,1078.4515380859377,1.0,2.9296875,1.953125,0,0.0,2.0,2017-4-17 17:40:21:146
100,1160.3240966796875,1078.4515380859377,1.0,2.9296875,1.953125,0,0.0,1.0,2017-4-17 17:40:21:150
101,1131.328125,1106.875,1.0,2.9296875,2.9296875,0,0.0,0.0,2017-4-17 17:41:3:567
102,1131.328125,1105.625,1.0,3.41796875,3.41796875,0,0.0,,null
103,1130.2734375,1105.0,1.0,3.41796875,3.41796875,0,0.0,,null
104,1129.889892578125,1104.772705078125,1.0,3.41796875,3.41796875,0,0.0,2.0,2017-4-17 17:41:3:598
105,1130.2734375,1103.75,1.0,2.9296875,2.9296875,0,0.0,,null
106,1131.133056640625,1103.2406005859377,1.0,2.9296875,2.9296875,0,0.0,2.0,2017-4-17 17:41:3:615
107,1131.328125,1103.125,1.0,2.9296875,1.953125,0,0.0,,null
108,1134.4921875,1101.875,1.0,0.48828125,0.48828125,0,0.0,,null
109,1135.1187744140625,1101.62744140625,1.0,0.48828125,0.48828125,0,0.0,2.0,2017-4-17 17:41:3:631
110,1135.1187744140625,1101.62744140625,1.0,0.48828125,0.48828125,0,0.0,1.0,2017-4-17 17:41:3:636
111,1192.5,983.75,1.0,2.9296875,2.9296875,0,0.0,0.0,2017-4-17 17:41:43:474
112,1191.4453125,983.125,1.0,2.9296875,2.9296875,0,0.0,,null
