EID,Xvalue,Yvalue,Zvalue,time
0,11.51970100402832,23.19981384277344,-0.2382230758666992,2017-05-24 11:45:19.425
1,13.09029769897461,23.00827789306641,-4.034229755401611,2017-05-24 11:45:19.437
2,7.184999465942383,13.759477615356445,-7.371747016906737,2017-05-24 11:45:19.445
3,3.5015199184417725,5.948394298553468,-5.585672378540039,2017-05-24 11:45:19.455
4,1.0295066833496094,2.185906171798706,-1.8411411046981807,2017-05-24 11:45:19.465
5,-1.2222399711608891,1.2689268589019775,0.34596213698387146,2017-05-24 11:45:19.475
6,-1.6950948238372805,2.2457611560821533,0.0454898327589035,2017-05-24 11:45:19.485
7,-1.2653355598449707,4.260481834411621,-1.1779472827911377,2017-05-24 11:45:19.496
8,-0.8367735147476196,6.831854343414308,-2.427720546722412,2017-05-24 11:45:19.505
9,0.2825157940387726,9.369708061218262,-3.633201122283936,2017-05-24 11:45:19.516
10,0.706289529800415,11.51850414276123,-3.4608185291290283,2017-05-24 11:45:19.525
11,0.5925649404525757,13.145364761352539,-3.890577793121338,2017-05-24 11:45:19.537
12,0.7026981711387634,14.088680267333984,-5.91128396987915,2017-05-24 11:45:19.546
13,1.4891934394836426,14.161703109741213,-8.221688270568848,2017-05-24 11:45:19.556
14,0.6320692300796509,13.219584465026855,-8.166622161865233,2017-05-24 11:45:19.566
15,-1.1563993692398071,11.192893028259276,-4.528632640838623,2017-05-24 11:45:19.579
16,-2.363077163696289,9.568427085876463,-3.21062445640564,2017-05-24 11:45:19.589
17,-2.315192937850952,8.989029884338379,-1.7884687185287476,2017-05-24 11:45:19.597
18,-0.8140285611152649,9.282320022583008,-0.9289502501487732,2017-05-24 11:45:19.606
19,0.7565677165985107,9.795876502990724,0.849941611289978,2017-05-24 11:45:19.616
20,1.1755530834197998,9.68694019317627,0.8343793153762817,2017-05-24 11:45:19.625
21,0.9337386488914492,9.173383712768556,-0.7781155705451965,2017-05-24 11:45:19.635
22,1.381454348564148,9.153033256530762,-1.2689268589019775,2017-05-24 11:45:19.645
23,1.3623007535934448,8.926780700683594,-0.9576807022094728,2017-05-24 11:45:19.655
24,1.543063044548035,8.711302757263184,-0.1999158412218094,2017-05-24 11:45:19.665
25,1.7082629203796391,8.876502990722656,0.3016694188117981,2017-05-24 11:45:19.675
26,2.269703149795532,9.074024200439453,1.3431471586227417,2017-05-24 11:45:19.686
27,2.560598611831665,8.902838706970215,1.0558429956436155,2017-05-24 11:45:19.696
28,2.451662540435791,8.582015991210938,0.8343793153762817,2017-05-24 11:45:19.706
29,2.0626046657562256,7.994239330291747,1.2988544702529907,2017-05-24 11:45:19.716
30,1.915361404418945,7.217320919036865,1.543063044548035,2017-05-24 11:45:19.726
31,2.175132274627685,6.7492547035217285,0.6248866319656372,2017-05-24 11:45:19.736
32,1.820790410041809,6.301538944244385,-0.5913678407669067,2017-05-24 11:45:19.747
33,1.0606313943862915,6.2404866218566895,-1.6675615310668943,2017-05-24 11:45:19.758
34,0.2346317619085312,6.485892295837402,-2.5055320262908936,2017-05-24 11:45:19.769
35,-0.5746083855628967,6.916848659515381,-3.00711727142334,2017-05-24 11:45:19.778
36,-0.4405331015586853,7.6985554695129395,-3.117250680923462,2017-05-24 11:45:19.790
37,0.43095630407333374,8.866926193237305,-3.0286650657653813,2017-05-24 11:45:19.801
38,0.9433154463768004,9.977835655212402,-2.7700912952423096,2017-05-24 11:45:19.811
39,1.3036428689956665,10.757147789001463,-2.2361843585968018,2017-05-24 11:45:19.821
40,1.6531962156295776,11.314997673034668,-1.5598224401474,2017-05-24 11:45:19.827
41,1.8770540952682493,11.866860389709473,-0.6931213736534119,2017-05-24 11:45:19.836
42,1.844732403755188,12.368446350097654,0.6787561774253845,2017-05-24 11:45:19.846
43,1.5753847360610962,12.574347496032715,1.722628116607666,2017-05-24 11:45:19.856
44,1.1528080701828003,12.744335174560547,1.780089020729065,2017-05-24 11:45:19.866
45,0.99479079246521,12.763489723205565,1.234210968017578,2017-05-24 11:45:19.876
46,0.9780313968658448,12.689269065856935,0.3148375153541565,2017-05-24 11:45:19.886
47,1.0103530883789062,12.550405502319336,-0.6859387755393982,2017-05-24 11:45:19.895
48,1.338358759880066,12.288240432739258,-0.6811503767967224,2017-05-24 11:45:19.906
49,0.9636662006378174,12.011710166931152,0.15322890877723694,2017-05-24 11:45:19.916
50,-0.019153613597154617,11.84650993347168,0.6979097723960876,2017-05-24 11:45:19.927
51,-0.6177040338516235,12.303802490234375,0.09457096457481384,2017-05-24 11:45:19.936
52,0.017956512048840526,12.686874389648438,-0.8990227580070496,2017-05-24 11:45:19.946
53,0.5111620426177979,12.770671844482422,-1.6424223184585571,2017-05-24 11:45:19.956
54,-0.026336219161748886,12.739546775817873,-2.353500366210937,2017-05-24 11:45:19.966
