userID,timestamp
1,2017-4-14 18:22:44.770
2,2017-4-15 15:27:5.154
3,2017-4-15 16:20:7.730
4,2017-4-16 14:57:46.285
5,2017-4-16 16:38:23.107
6,2017-4-19 10:39:24.367
7,2017-4-19 11:50:54.659
10,2017-4-22 13:15:23.494
11,2017-4-29 16:50:28.217
12,2017-4-29 16:50:30.131
13,2017-4-30 12:24:41.152
14,2017-4-30 12:22:41.993
16,2017-5-1 11:58:20.337
18,2017-5-1 16:59:52.262
19,2017-5-3 9:26:42.158
20,2017-5-3 10:6:13.692
21,2017-5-3 13:23:53.379
22,2017-5-4 16:36:48.401
23,2017-5-4 12:25:33.592
24,2017-5-4 15:30:21.144
25,2017-5-5 11:50:15.104
26,2017-5-5 11:54:26.740
27,2017-5-5 15:37:33.524
28,2017-5-5 15:36:44.886
29,2017-5-5 17:13:35.321
30,2017-5-8 11:20:47.751
31,2017-5-8 11:35:30.50
32,2017-5-8 13:51:50.397
33,2017-5-9 10:32:53.856
34,2017-5-9 11:47:37.199
35,2017-5-9 14:22:29.506
36,2017-5-9 14:15:55.218
37,2017-5-9 16:39:34.865
38,2017-5-9 17:7:44.175
39,2017-5-10 9:33:7.402
40,2017-5-10 10:52:14.906
41,2017-5-10 12:58:31.256
42,2017-5-10 13:17:36.687
43,2017-5-11 10:20:5.540
44,2017-5-11 10:29:52.725
45,2017-5-11 11:49:40.841
46,2017-5-11 13:31:29.937
47,2017-5-11 15:46:52.946
48,2017-5-12 9:57:32.878
49,2017-5-12 11:33:13.850
50,2017-5-12 14:30:34.242
51,2017-5-12 14:30:53.678
52,2017-5-15 12:25:36.897
53,2017-5-15 14:40:0.159
54,2017-5-15 14:51:50.218
55,2017-5-15 16:9:24.793
56,2017-5-15 16:59:35.350
57,2017-5-16 10:22:36.807
58,2017-5-16 10:33:7.675
59,2017-5-16 15:52:56.785
60,2017-5-17 12:21:54.502
61,2017-5-17 12:27:36.554
62,2017-5-17 14:19:15.516
63,2017-5-17 14:35:19.788
64,2017-5-18 10:22:51.672
65,2017-5-18 14:29:53.888
66,2017-5-18 14:28:36.508
67,2017-5-19 10:31:28.394
68,2017-5-19 14:14:21.59
69,2017-5-19 15:4:47.91
70,2017-5-22 9:59:14.381
71,2017-5-22 12:5:9.854
72,2017-5-22 12:20:43.602
73,2017-5-22 15:8:9.888
74,2017-5-22 15:8:0.38
75,2017-5-23 11:28:5.460
76,2017-5-23 12:5:29.343
77,2017-5-23 12:26:36.772
78,2017-5-23 14:15:44.178
79,2017-5-23 14:26:29.388
80,2017-5-24 10:25:15.517
81,2017-5-24 10:49:21.7
82,2017-5-24 14:18:24.691
83,2017-5-24 14:18:15.14
84,2017-5-25 11:52:29.179
85,2017-5-25 11:49:54.921
86,2017-5-25 14:21:7.510
87,2017-5-25 14:28:9.613
88,2017-5-26 11:41:5.827
89,2017-5-26 14:21:52.85
90,2017-5-30 11:24:1.163
91,2017-5-30 16:22:11.846
92,2017-5-31 11:34:8.907
93,2017-5-31 14:21:42.673
94,2017-5-31 14:28:35.594
95,2017-6-1 14:13:50.994
96,2017-6-2 13:11:44.576
97,2017-6-2 14:36:58.91
98,2017-6-2 14:49:19.344
99,2017-6-5 14:26:54.300
100,2017-6-5 14:26:41.965
101,2017-6-6 13:40:57.924
102,2017-6-6 14:2:1.54
103,2017-6-6 15:29:24.194
104,2017-6-6 15:47:38.638
105,2017-6-7 11:56:16.801
106,2017-6-7 11:56:19.993
107,2017-6-7 13:47:5.594
108,2017-6-7 13:54:2.668
109,2017-6-7 15:33:58.907
110,2017-6-7 15:35:46.85
111,2017-6-8 11:41:14.855
112,2017-6-8 11:34:10.665
113,2017-6-8 13:57:24.356
114,2017-6-8 14:0:12.855
115,2017-6-8 15:40:15.619
116,2017-6-13 14:41:17.412
117,2017-6-13 15:6:18.925
