User ID,FreeText_Start
1,2017-04-14 19:18:32.516
2,2017-04-17 14:40:37.806
3,2017-04-17 17:54:03.151
4,2017-04-16 16:01:03.593
5,2017-04-17 11:46:34.561
6,2017-04-19 12:02:14.768
7,2017-04-19 13:41:50.642
8,2017-04-21 16:55:58.620
9,2017-04-21 17:07:55.165
10,2017-04-22 15:31:44.171
11,2017-04-29 18:26:51.019
12,2017-04-29 18:37:51.377
13,2017-04-30 14:01:25.197
14,2017-04-30 14:14:20.253
15,2017-05-01 13:59:10.986
16,2017-05-01 13:45:38.489
17,2017-05-01 15:53:32.832
18,2017-05-01 18:44:00.434
19,2017-05-03 11:01:01.048
20,2017-05-03 11:22:52.339
21,2017-05-03 15:05:11.714
22,2017-05-03 15:11:46.783
23,2017-05-04 14:11:48.904
24,2017-05-04 17:23:11.999
25,2017-05-05 13:19:22.575
26,2017-05-05 13:28:07.588
27,2017-05-05 17:41:11.435
28,2017-05-05 16:53:42.240
29,2017-05-05 18:50:49.210
30,2017-05-08 12:56:49.501
31,2017-05-08 13:26:55.489
32,2017-05-08 15:55:20.129
33,2017-05-09 12:09:59.977
34,2017-05-09 13:17:22.843
35,2017-05-09 16:03:40.508
36,2017-05-09 15:54:07.205
37,2017-05-09 18:17:52.879
38,2017-05-09 18:42:18.062
39,2017-05-10 11:05:53.409
40,2017-05-10 12:11:57.438
41,2017-05-10 14:44:54.111
42,2017-05-10 14:51:53.332
43,2017-05-11 11:47:15.307
44,2017-05-11 11:55:02.636
45,2017-05-11 13:29:16.949
46,2017-05-11 15:00:50.891
47,2017-05-11 17:12:45.276
48,2017-05-12 11:33:40.633
49,2017-05-12 16:58:49.526
50,2017-05-12 16:03:45.003
51,2017-05-12 15:57:08.327
52,2017-05-15 14:11:53.314
53,2017-05-15 16:30:01.240
54,2017-05-15 16:31:51.186
55,2017-05-15 17:51:48.867
56,2017-05-15 18:32:45.824
57,2017-05-16 11:55:17.896
58,2017-05-16 12:12:30.749
59,2017-05-16 17:30:32.532
60,2017-05-17 13:58:47.756
61,2017-05-17 14:07:33.522
62,2017-05-17 15:46:49.117
63,2017-05-17 16:10:40.305
64,2017-05-18 11:50:08.367
65,2017-05-18 16:09:30.661
66,2017-05-18 16:25:07.410
67,2017-05-19 11:56:22.554
68,2017-05-19 15:39:47.320
69,2017-05-19 16:45:56.317
70,2017-05-22 11:22:37.503
71,2017-05-22 13:34:00.501
72,2017-05-22 13:53:14.985
73,2017-05-22 16:55:22.601
74,2017-05-22 16:54:03.270
75,2017-05-23 12:57:19.487
76,2017-05-23 13:27:19.047
77,2017-05-23 14:04:39.874
78,2017-05-23 15:43:42.714
79,2017-05-23 15:41:27.905
80,2017-05-24 12:12:37.514
81,2017-05-24 12:20:22.784
82,2017-05-24 15:40:58.518
83,2017-05-24 15:33:44.518
84,2017-05-25 13:26:30.134
85,2017-05-25 13:48:02.762
86,2017-05-25 15:49:34.672
87,2017-05-25 15:55:35.397
88,2017-05-26 13:22:44.063
89,2017-05-26 15:53:00.289
90,2017-05-30 12:57:09.970
91,2017-05-30 17:51:18.248
92,2017-05-31 13:09:11.566
93,2017-05-31 15:59:13.162
94,2017-05-31 16:05:12.992
95,2017-06-01 15:53:54.452
96,2017-06-02 15:16:34.209
97,2017-06-02 16:03:41.122
98,2017-06-02 16:37:28.483
99,2017-06-05 15:57:56.851
100,2017-06-05 15:50:15.174
101,2017-06-06 15:31:04.952
102,2017-06-06 15:48:38.080
103,2017-06-06 17:04:48.417
104,2017-06-06 17:40:51.456
105,2017-06-07 13:53:54.969
106,2017-06-07 13:55:22.637
107,2017-06-07 15:19:30.357
108,2017-06-07 15:17:12.876
109,2017-06-07 17:13:03.166
110,2017-06-07 17:22:21.077
111,2017-06-08 13:10:09.020
112,2017-06-08 13:17:41.314
113,2017-06-08 15:36:38.235
114,2017-06-08 15:24:43.570
115,2017-06-08 17:20:24.037
116,2017-06-13 16:26:52.024
117,-
