EID,Xvalue,Yvalue,Zvalue,time
0,-1.3486248254776,1.72146737575531,-0.041545312851667404,2017-05-01 13:20:13.147
1,-1.0460896492004397,0.9097358584403992,-0.1203748807311058,2017-05-01 13:20:13.157
2,-0.8735168576240541,0.10759171098470688,-0.11398329585790636,2017-05-01 13:20:13.165
3,-0.9661948680877686,-0.2961435317993164,-0.111852765083313,2017-05-01 13:20:13.176
4,-1.0556770563125608,-0.31318774819374084,-0.14487597346305847,2017-05-01 13:20:13.185
5,-1.0972224473953247,0.09800432622432707,-0.20985709130764008,2017-05-01 13:20:13.196
6,-1.2069445848464966,0.6977482438087463,-0.2428802996873856,2017-05-01 13:20:13.206
7,-1.310275316238403,1.316666841506958,-0.2599245309829712,2017-05-01 13:20:13.216
8,-1.3251889944076538,1.6490293741226196,-0.3195793330669403,2017-05-01 13:20:13.226
9,-1.2463594675064087,1.6564862728118896,-0.3579288721084595,2017-05-01 13:20:13.236
10,-1.163268804550171,1.4508901834487915,-0.3099919557571411,2017-05-01 13:20:13.246
11,-1.1206581592559814,1.2080098390579224,-0.20559604465961456,2017-05-01 13:20:13.255
12,-1.0641992092132568,1.0396981239318848,-0.15233281254768372,2017-05-01 13:20:13.267
13,-0.9949570298194884,0.8436894416809082,-0.13102753460407254,2017-05-01 13:20:13.277
14,-0.8990831971168518,0.7360977530479431,-0.14913702011108398,2017-05-01 13:20:13.286
15,-0.7989483475685121,0.7105314135551453,-0.18748654425144198,2017-05-01 13:20:13.297
16,-0.7424893379211426,0.7147924304008484,-0.2087918370962143,2017-05-01 13:20:13.306
17,-0.7286409139633179,0.7584682703018188,-0.1810949593782425,2017-05-01 13:20:13.316
18,-0.7350324988365173,0.7350324988365173,-0.1161138266324997,2017-05-01 13:20:13.325
19,-0.7552725076675415,0.687095582485199,-0.04900216311216354,2017-05-01 13:20:13.337
20,-0.7691209316253662,0.6849650740623474,0.0,2017-05-01 13:20:13.345
21,-0.7733820080757141,0.7052050828933716,0.00532632227987051,2017-05-01 13:20:13.359
