key1,key2,time
t,h,478.0
BACKSPACE,BACKSPACE,178.0
s,SPACE,206.0
SPACE,i,578.0
s,SPACE,167.0
SPACE,a,536.0
SPACE,t,940.0
t,e,336.0
e,s,314.0
t,SPACE,631.0
SPACE,t,478.0
o,SPACE,446.0
SPACE,s,342.0
s,e,398.0
e,SPACE,890.0
SPACE,i,400.0
SPACE,t,320.0
t,h,256.0
e,SPACE,183.0
BACKSPACE,BACKSPACE,170.0
BACKSPACE,BACKSPACE,274.0
s,SPACE,998.0
SPACE,t,428.0
t,h,242.0
t,SPACE,1148.0
SPACE,i,342.0
SPACE,t,491.0
e,SPACE,697.0
SPACE,a,295.0
r,e,221.0
e,SPACE,765.0
e,SPACE,301.0
SPACE,t,1830.0
o,SPACE,535.0
SPACE,t,576.0
t,h,237.0
e,r,293.0
r,e,212.0
e,SPACE,783.0
SPACE,a,288.0
r,e,214.0
e,SPACE,208.0
SPACE,t,2195.0
o,SPACE,597.0
SPACE,s,352.0
s,e,344.0
t,e,395.0
e,n,240.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
t,e,854.0
e,n,452.0
e,s,359.0
s,SPACE,276.0
SPACE,i,1506.0
n,SPACE,279.0
SPACE,t,184.0
t,h,245.0
SPACE,s,380.0
t,h,231.0
s,SPACE,1365.0
SPACE,i,918.0
s,SPACE,597.0
SPACE,a,279.0
SPACE,t,537.0
t,e,239.0
e,s,401.0
t,SPACE,424.0
SPACE,t,378.0
o,SPACE,303.0
SPACE,s,303.0
s,e,375.0
e,SPACE,455.0
SPACE,i,414.0
SPACE,t,1229.0
t,h,366.0
e,SPACE,276.0
s,SPACE,544.0
SPACE,t,655.0
t,h,264.0
t,SPACE,457.0
SPACE,i,456.0
SPACE,t,645.0
e,SPACE,251.0
SPACE,a,566.0
r,e,201.0
e,SPACE,270.0
e,SPACE,353.0
SPACE,t,683.0
o,SPACE,319.0
SPACE,t,451.0
t,h,272.0
e,r,225.0
r,e,209.0
e,SPACE,550.0
SPACE,a,687.0
r,e,224.0
e,SPACE,315.0
SPACE,t,782.0
o,SPACE,539.0
SPACE,s,1648.0
s,e,356.0
e,n,200.0
t,e,326.0
e,n,222.0
e,SPACE,279.0
BACKSPACE,BACKSPACE,569.0
BACKSPACE,BACKSPACE,175.0
s,SPACE,282.0
SPACE,i,579.0
n,SPACE,284.0
SPACE,t,862.0
t,h,242.0
s,SPACE,216.0
SPACE,s,442.0
t,h,232.0
s,SPACE,191.0
SPACE,i,541.0
s,SPACE,196.0
SPACE,a,204.0
SPACE,t,544.0
t,e,363.0
e,s,333.0
t,SPACE,510.0
SPACE,t,534.0
o,SPACE,348.0
SPACE,s,904.0
s,e,354.0
e,SPACE,298.0
SPACE,i,517.0
SPACE,t,269.0
t,h,301.0
e,SPACE,195.0
s,SPACE,388.0
SPACE,t,856.0
t,h,250.0
t,SPACE,430.0
SPACE,i,521.0
SPACE,t,401.0
e,SPACE,399.0
SPACE,a,1354.0
r,e,225.0
e,SPACE,320.0
BACKSPACE,BACKSPACE,178.0
BACKSPACE,BACKSPACE,179.0
BACKSPACE,BACKSPACE,189.0
BACKSPACE,BACKSPACE,471.0
e,SPACE,265.0
SPACE,t,735.0
o,SPACE,381.0
SPACE,t,572.0
t,h,255.0
e,r,255.0
r,e,200.0
e,SPACE,313.0
SPACE,a,909.0
r,e,231.0
e,SPACE,298.0
SPACE,t,608.0
o,SPACE,1140.0
e,n,243.0
t,e,393.0
e,n,197.0
e,s,304.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
s,e,414.0
e,n,268.0
t,e,962.0
e,n,309.0
e,s,350.0
s,SPACE,329.0
SPACE,i,899.0
n,SPACE,271.0
SPACE,t,345.0
t,h,289.0
s,SPACE,199.0
SPACE,s,350.0
t,h,239.0
s,SPACE,221.0
SPACE,i,549.0
s,SPACE,184.0
SPACE,a,689.0
SPACE,t,381.0
t,e,280.0
e,s,411.0
t,SPACE,465.0
SPACE,t,524.0
o,SPACE,355.0
SPACE,s,603.0
s,e,299.0
e,SPACE,233.0
SPACE,i,401.0
SPACE,t,239.0
t,h,292.0
e,SPACE,167.0
s,SPACE,534.0
SPACE,t,765.0
t,h,263.0
t,SPACE,502.0
SPACE,i,558.0
SPACE,t,474.0
e,SPACE,248.0
SPACE,a,654.0
r,e,245.0
e,SPACE,521.0
e,SPACE,340.0
SPACE,t,701.0
o,SPACE,379.0
SPACE,t,1156.0
t,h,271.0
e,r,255.0
r,e,225.0
e,SPACE,365.0
SPACE,a,661.0
r,e,221.0
e,SPACE,214.0
SPACE,t,563.0
o,SPACE,743.0
SPACE,s,631.0
s,e,319.0
e,n,175.0
t,e,380.0
e,n,171.0
e,s,321.0
s,SPACE,231.0
SPACE,i,628.0
n,SPACE,254.0
SPACE,t,489.0
t,h,255.0
s,SPACE,223.0
SPACE,s,401.0
BACKSPACE,BACKSPACE,452.0
t,h,221.0
e,r,234.0
r,e,211.0
e,SPACE,278.0
SPACE,a,472.0
r,e,232.0
e,SPACE,387.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
t,h,213.0
BACKSPACE,BACKSPACE,196.0
s,SPACE,235.0
SPACE,i,577.0
s,SPACE,251.0
SPACE,a,1429.0
SPACE,t,397.0
t,e,249.0
e,s,297.0
t,SPACE,500.0
SPACE,t,364.0
o,SPACE,353.0
SPACE,s,340.0
s,e,319.0
e,SPACE,366.0
SPACE,i,623.0
SPACE,t,248.0
t,h,281.0
e,SPACE,182.0
s,SPACE,589.0
SPACE,t,655.0
t,h,702.0
t,SPACE,533.0
SPACE,i,1706.0
SPACE,t,277.0
e,SPACE,449.0
SPACE,a,1874.0
r,e,287.0
e,SPACE,1046.0
e,SPACE,244.0
SPACE,t,969.0
o,SPACE,3560.0
SPACE,t,5999.0
t,h,290.0
e,r,250.0
r,e,231.0
e,SPACE,238.0
SPACE,a,441.0
r,e,227.0
e,SPACE,158.0
SPACE,t,482.0
o,SPACE,288.0
e,n,168.0
t,e,319.0
e,n,202.0
e,s,284.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
BACKSPACE,BACKSPACE,0.0
e,n,239.0
t,e,336.0
BACKSPACE,BACKSPACE,443.0
BACKSPACE,BACKSPACE,177.0
BACKSPACE,BACKSPACE,170.0
BACKSPACE,BACKSPACE,439.0
s,e,314.0
e,n,796.0
t,e,514.0
e,n,308.0
e,s,505.0
s,SPACE,267.0
SPACE,i,491.0
n,SPACE,278.0
SPACE,t,386.0
t,h,262.0
s,SPACE,224.0
SPACE,s,381.0
t,h,223.0
s,SPACE,204.0
SPACE,i,477.0
s,SPACE,164.0
SPACE,a,516.0
SPACE,t,405.0
t,e,298.0
e,s,391.0
t,SPACE,392.0
SPACE,t,434.0
o,SPACE,318.0
SPACE,s,288.0
s,e,287.0
e,SPACE,233.0
SPACE,i,329.0
SPACE,t,253.0
BACKSPACE,BACKSPACE,175.0
BACKSPACE,BACKSPACE,184.0
SPACE,t,237.0
BACKSPACE,BACKSPACE,189.0
e,SPACE,160.0
s,SPACE,636.0
SPACE,t,549.0
t,h,268.0
t,SPACE,628.0
SPACE,i,419.0
SPACE,t,700.0
e,SPACE,225.0
SPACE,a,472.0
r,e,243.0
e,SPACE,261.0
e,SPACE,194.0
SPACE,t,679.0
o,SPACE,365.0
SPACE,t,568.0
t,h,209.0
e,r,273.0
r,e,208.0
e,SPACE,355.0
SPACE,a,846.0
r,e,222.0
e,SPACE,252.0
SPACE,t,543.0
o,SPACE,673.0
SPACE,s,552.0
s,e,287.0
e,n,158.0
t,e,290.0
e,n,167.0
e,s,411.0
s,SPACE,218.0
SPACE,i,515.0
n,SPACE,223.0
SPACE,t,428.0
t,h,219.0
BACKSPACE,BACKSPACE,160.0
BACKSPACE,BACKSPACE,203.0
BACKSPACE,BACKSPACE,190.0
s,SPACE,321.0
SPACE,s,380.0
t,h,225.0
s,SPACE,235.0
SPACE,i,484.0
s,SPACE,213.0
SPACE,a,357.0
SPACE,t,443.0
t,e,258.0
e,s,283.0
t,SPACE,415.0
SPACE,t,378.0
o,SPACE,382.0
BACKSPACE,BACKSPACE,178.0
BACKSPACE,BACKSPACE,227.0
s,e,345.0
e,SPACE,287.0
SPACE,i,513.0
SPACE,t,386.0
t,h,242.0
e,SPACE,192.0
s,SPACE,198.0
SPACE,i,551.0
BACKSPACE,BACKSPACE,194.0
