key1,key2,time
t,h,484.0
s,SPACE,343.0
SPACE,i,343.0
s,SPACE,374.0
SPACE,s,234.0
s,SPACE,468.0
BACKSPACE,BACKSPACE,265.0
BACKSPACE,BACKSPACE,468.0
SPACE,a,468.0
SPACE,t,967.0
t,e,280.0
e,s,405.0
t,SPACE,312.0
SPACE,t,873.0
o,SPACE,281.0
SPACE,s,281.0
s,e,436.0
e,SPACE,374.0
SPACE,i,593.0
SPACE,t,344.0
t,h,453.0
e,SPACE,421.0
s,SPACE,1763.0
SPACE,t,484.0
t,h,421.0
t,SPACE,375.0
SPACE,i,1076.0
SPACE,t,390.0
e,SPACE,468.0
SPACE,a,733.0
r,e,343.0
e,SPACE,343.0
e,SPACE,1186.0
SPACE,t,811.0
o,SPACE,358.0
e,SPACE,328.0
SPACE,t,421.0
t,h,375.0
e,r,312.0
r,e,281.0
e,SPACE,530.0
SPACE,a,670.0
r,e,390.0
e,SPACE,1513.0
SPACE,t,1061.0
o,SPACE,390.0
SPACE,s,1404.0
s,e,359.0
e,n,249.0
t,e,312.0
e,n,328.0
e,s,686.0
s,SPACE,374.0
SPACE,i,1170.0
n,SPACE,390.0
SPACE,t,468.0
t,h,640.0
s,SPACE,375.0
SPACE,s,421.0
t,h,656.0
s,SPACE,546.0
SPACE,i,422.0
s,SPACE,343.0
SPACE,a,531.0
SPACE,t,687.0
t,e,265.0
e,s,546.0
t,SPACE,312.0
SPACE,t,608.0
o,SPACE,281.0
SPACE,s,718.0
s,e,484.0
e,SPACE,375.0
SPACE,i,827.0
SPACE,t,843.0
t,h,406.0
e,SPACE,328.0
s,SPACE,343.0
SPACE,t,718.0
t,h,390.0
t,SPACE,359.0
SPACE,i,2012.0
SPACE,t,343.0
e,SPACE,281.0
SPACE,a,406.0
r,e,344.0
e,SPACE,343.0
e,SPACE,952.0
SPACE,t,890.0
o,SPACE,609.0
e,SPACE,1014.0
SPACE,t,1186.0
t,h,327.0
e,r,297.0
r,e,265.0
e,SPACE,343.0
SPACE,a,483.0
r,e,312.0
e,SPACE,390.0
SPACE,t,312.0
o,SPACE,312.0
SPACE,s,1216.0
s,e,437.0
e,n,312.0
t,e,250.0
e,n,390.0
e,s,452.0
s,SPACE,390.0
SPACE,i,1014.0
n,SPACE,312.0
SPACE,t,421.0
t,h,437.0
s,SPACE,421.0
SPACE,s,406.0
t,h,421.0
s,SPACE,421.0
SPACE,i,718.0
s,SPACE,249.0
SPACE,a,343.0
SPACE,t,452.0
t,e,344.0
e,s,1326.0
t,SPACE,296.0
SPACE,t,437.0
o,SPACE,265.0
SPACE,s,187.0
s,e,359.0
e,SPACE,359.0
SPACE,i,593.0
SPACE,t,281.0
t,h,468.0
e,SPACE,936.0
s,SPACE,577.0
SPACE,t,546.0
t,h,671.0
t,SPACE,343.0
SPACE,i,827.0
SPACE,t,468.0
e,SPACE,1326.0
SPACE,a,1950.0
r,e,343.0
e,SPACE,422.0
e,SPACE,390.0
SPACE,t,1060.0
o,SPACE,359.0
SPACE,t,765.0
t,h,343.0
e,r,436.0
r,e,219.0
e,SPACE,328.0
SPACE,a,359.0
r,e,374.0
e,SPACE,421.0
SPACE,t,421.0
o,SPACE,374.0
SPACE,s,1856.0
s,e,483.0
e,n,375.0
t,e,281.0
e,n,405.0
e,s,421.0
s,SPACE,468.0
SPACE,i,624.0
n,SPACE,280.0
SPACE,t,344.0
t,h,343.0
s,SPACE,328.0
SPACE,s,437.0
t,h,546.0
SPACE,i,546.0
s,SPACE,406.0
SPACE,a,374.0
SPACE,t,249.0
t,e,265.0
e,s,374.0
t,SPACE,452.0
SPACE,t,265.0
o,SPACE,265.0
SPACE,s,266.0
s,e,437.0
e,SPACE,593.0
SPACE,i,873.0
SPACE,t,265.0
t,h,422.0
e,SPACE,359.0
s,SPACE,468.0
SPACE,t,577.0
t,h,375.0
t,SPACE,327.0
SPACE,i,405.0
BACKSPACE,BACKSPACE,468.0
BACKSPACE,BACKSPACE,328.0
BACKSPACE,BACKSPACE,234.0
SPACE,t,827.0
e,SPACE,328.0
SPACE,a,765.0
r,e,328.0
e,SPACE,406.0
e,SPACE,390.0
SPACE,t,749.0
o,SPACE,328.0
SPACE,t,359.0
t,h,406.0
e,r,281.0
r,e,312.0
e,SPACE,327.0
SPACE,a,406.0
r,e,328.0
e,SPACE,468.0
SPACE,t,1404.0
o,SPACE,265.0
SPACE,s,515.0
s,e,468.0
e,n,468.0
t,e,297.0
e,n,468.0
e,s,390.0
s,SPACE,374.0
SPACE,i,842.0
n,SPACE,343.0
SPACE,t,359.0
t,h,390.0
s,SPACE,312.0
SPACE,s,749.0
t,h,406.0
s,SPACE,359.0
BACKSPACE,BACKSPACE,297.0
s,SPACE,312.0
SPACE,a,406.0
SPACE,t,2044.0
t,e,280.0
e,s,437.0
t,SPACE,406.0
SPACE,t,639.0
s,SPACE,203.0
BACKSPACE,BACKSPACE,250.0
BACKSPACE,BACKSPACE,234.0
BACKSPACE,BACKSPACE,265.0
BACKSPACE,BACKSPACE,468.0
o,SPACE,312.0
SPACE,s,312.0
s,e,500.0
e,SPACE,405.0
SPACE,i,1108.0
SPACE,t,327.0
t,h,421.0
e,SPACE,468.0
s,SPACE,343.0
SPACE,t,936.0
t,h,375.0
t,SPACE,406.0
SPACE,i,873.0
SPACE,t,499.0
e,SPACE,406.0
SPACE,a,717.0
r,e,359.0
e,SPACE,374.0
e,SPACE,358.0
SPACE,t,1014.0
o,SPACE,437.0
SPACE,t,390.0
t,h,359.0
e,r,328.0
r,e,265.0
e,SPACE,359.0
SPACE,a,546.0
r,e,234.0
e,SPACE,422.0
SPACE,t,390.0
o,SPACE,343.0
SPACE,s,1622.0
s,e,468.0
e,n,343.0
t,e,296.0
e,n,406.0
e,s,390.0
s,SPACE,422.0
SPACE,i,578.0
n,SPACE,358.0
SPACE,t,344.0
t,h,390.0
s,SPACE,280.0
SPACE,s,405.0
t,h,374.0
s,SPACE,374.0
SPACE,i,499.0
s,SPACE,515.0
SPACE,a,374.0
SPACE,t,640.0
t,e,281.0
e,s,437.0
t,SPACE,312.0
SPACE,t,749.0
o,SPACE,296.0
SPACE,s,280.0
s,e,436.0
e,SPACE,343.0
SPACE,i,593.0
SPACE,t,312.0
t,h,468.0
e,SPACE,405.0
s,SPACE,422.0
SPACE,t,812.0
t,h,358.0
t,SPACE,234.0
SPACE,i,670.0
SPACE,t,843.0
e,SPACE,359.0
