key1,key2,time
t,h,1.0
s,SPACE,160.0
SPACE,i,166.0
s,SPACE,144.0
SPACE,a,103.0
BACKSPACE,BACKSPACE,6463.0
BACKSPACE,BACKSPACE,108.0
BACKSPACE,BACKSPACE,79.0
BACKSPACE,BACKSPACE,77.0
BACKSPACE,BACKSPACE,87.0
BACKSPACE,BACKSPACE,87.0
BACKSPACE,BACKSPACE,86.0
BACKSPACE,BACKSPACE,86.0
BACKSPACE,BACKSPACE,94.0
s,SPACE,104.0
SPACE,i,227.0
s,SPACE,224.0
SPACE,a,454.0
SPACE,t,572.0
t,e,96.0
e,s,120.0
t,SPACE,353.0
SPACE,t,142.0
o,SPACE,184.0
SPACE,s,72.0
s,e,177.0
e,SPACE,200.0
SPACE,i,344.0
SPACE,t,79.0
t,h,113.0
e,SPACE,87.0
s,SPACE,88.0
SPACE,t,242.0
t,h,150.0
t,SPACE,248.0
SPACE,i,122.0
SPACE,t,61.0
e,SPACE,233.0
SPACE,a,350.0
r,e,151.0
e,SPACE,70.0
e,SPACE,112.0
SPACE,t,142.0
o,SPACE,192.0
SPACE,t,519.0
t,h,143.0
e,r,103.0
r,e,127.0
e,SPACE,167.0
SPACE,a,76.0
r,e,96.0
e,SPACE,70.0
SPACE,t,82.0
o,SPACE,190.0
SPACE,s,54.0
s,e,135.0
e,n,31.0
t,e,150.0
e,n,16.0
e,s,120.0
s,SPACE,1115.0
SPACE,i,433.0
n,SPACE,167.0
SPACE,t,53.0
t,h,192.0
s,SPACE,120.0
SPACE,s,132.0
t,h,176.0
s,SPACE,134.0
SPACE,i,639.0
s,SPACE,64.0
SPACE,a,61.0
SPACE,t,278.0
t,e,183.0
e,s,128.0
t,SPACE,192.0
SPACE,t,111.0
o,SPACE,192.0
SPACE,s,29.0
s,e,120.0
e,SPACE,79.0
SPACE,i,204.0
SPACE,t,28.0
t,h,71.0
e,SPACE,63.0
s,SPACE,38.0
SPACE,t,220.0
t,h,151.0
t,SPACE,207.0
SPACE,i,278.0
SPACE,t,100.0
e,SPACE,112.0
SPACE,a,61.0
r,e,136.0
e,SPACE,87.0
e,SPACE,71.0
SPACE,t,133.0
o,SPACE,136.0
SPACE,t,2419.0
t,h,43.0
e,r,104.0
r,e,119.0
e,SPACE,71.0
SPACE,a,63.0
r,e,103.0
e,SPACE,72.0
SPACE,t,103.0
o,SPACE,401.0
SPACE,s,52.0
s,e,103.0
e,n,31.0
t,e,143.0
e,n,63.0
e,s,151.0
s,SPACE,151.0
SPACE,i,367.0
n,SPACE,151.0
SPACE,t,130.0
t,h,62.0
s,SPACE,79.0
SPACE,s,51.0
t,h,151.0
s,SPACE,40.0
SPACE,i,158.0
s,SPACE,40.0
SPACE,a,110.0
SPACE,t,175.0
t,e,169.0
e,s,112.0
t,SPACE,72.0
SPACE,t,35.0
o,SPACE,152.0
SPACE,s,39.0
s,e,112.0
e,SPACE,96.0
SPACE,i,246.0
SPACE,t,45.0
t,h,70.0
e,SPACE,104.0
s,SPACE,80.0
SPACE,t,1203.0
t,h,136.0
t,SPACE,200.0
SPACE,i,221.0
SPACE,t,45.0
e,SPACE,104.0
SPACE,a,13.0
r,e,136.0
e,SPACE,128.0
e,SPACE,168.0
SPACE,t,116.0
o,SPACE,191.0
SPACE,t,5276.0
t,h,111.0
e,r,94.0
r,e,119.0
e,SPACE,47.0
SPACE,a,116.0
r,e,87.0
e,SPACE,61.0
SPACE,t,23.0
SPACE,s,85.0
s,e,135.0
e,n,25.0
t,e,158.0
e,n,38.0
e,s,127.0
s,SPACE,15.0
SPACE,i,249.0
n,SPACE,119.0
SPACE,t,53.0
t,h,163.0
s,SPACE,71.0
BACKSPACE,BACKSPACE,-459.0
BACKSPACE,BACKSPACE,-408.0
BACKSPACE,BACKSPACE,-359.0
BACKSPACE,BACKSPACE,-309.0
BACKSPACE,BACKSPACE,-258.0
BACKSPACE,BACKSPACE,-81.0
BACKSPACE,BACKSPACE,80.0
BACKSPACE,BACKSPACE,96.0
t,h,128.0
s,SPACE,64.0
SPACE,i,192.0
s,SPACE,56.0
SPACE,a,63.0
t,e,150.0
e,s,95.0
BACKSPACE,BACKSPACE,104.0
BACKSPACE,BACKSPACE,86.0
BACKSPACE,BACKSPACE,88.0
BACKSPACE,BACKSPACE,297.0
t,e,112.0
e,s,111.0
t,SPACE,113.0
SPACE,t,94.0
o,SPACE,159.0
SPACE,s,0.0
s,e,120.0
e,SPACE,167.0
SPACE,i,1236.0
SPACE,t,71.0
t,h,88.0
e,SPACE,88.0
s,SPACE,64.0
SPACE,t,854.0
t,h,152.0
t,SPACE,255.0
SPACE,i,309.0
SPACE,t,75.0
e,SPACE,311.0
SPACE,a,480.0
r,e,96.0
e,SPACE,47.0
e,SPACE,95.0
SPACE,t,108.0
o,SPACE,176.0
SPACE,t,215.0
t,h,127.0
e,r,127.0
r,e,103.0
e,SPACE,88.0
SPACE,a,117.0
r,e,159.0
e,SPACE,183.0
SPACE,t,187.0
o,SPACE,159.0
SPACE,s,19.0
s,e,119.0
e,n,16.0
t,e,121.0
e,n,31.0
e,s,95.0
s,SPACE,31.0
SPACE,i,188.0
n,SPACE,120.0
SPACE,t,78.0
t,h,64.0
s,SPACE,55.0
BACKSPACE,BACKSPACE,120.0
BACKSPACE,BACKSPACE,112.0
BACKSPACE,BACKSPACE,121.0
BACKSPACE,BACKSPACE,489.0
t,h,71.0
s,SPACE,71.0
s,SPACE,7.0
BACKSPACE,BACKSPACE,96.0
BACKSPACE,BACKSPACE,80.0
s,SPACE,15.0
SPACE,i,156.0
SPACE,t,182.0
t,e,120.0
e,s,119.0
t,SPACE,184.0
SPACE,t,93.0
o,SPACE,167.0
SPACE,s,197.0
s,e,127.0
e,SPACE,95.0
SPACE,i,229.0
SPACE,t,31.0
t,h,24.0
e,SPACE,48.0
s,SPACE,95.0
SPACE,t,179.0
t,h,110.0
t,SPACE,185.0
SPACE,i,135.0
SPACE,t,47.0
e,SPACE,185.0
SPACE,a,651.0
r,e,112.0
e,SPACE,87.0
e,SPACE,120.0
SPACE,t,103.0
o,SPACE,160.0
SPACE,t,4654.0
t,h,128.0
e,r,104.0
r,e,79.0
e,SPACE,72.0
SPACE,a,86.0
r,e,112.0
e,SPACE,71.0
SPACE,t,21.0
BACKSPACE,BACKSPACE,64.0
o,SPACE,176.0
SPACE,s,46.0
s,e,128.0
t,e,192.0
e,s,120.0
s,SPACE,120.0
BACKSPACE,BACKSPACE,-332.0
BACKSPACE,BACKSPACE,-281.0
BACKSPACE,BACKSPACE,-230.0
BACKSPACE,BACKSPACE,-58.0
BACKSPACE,BACKSPACE,95.0
BACKSPACE,BACKSPACE,87.0
BACKSPACE,BACKSPACE,71.0
BACKSPACE,BACKSPACE,71.0
t,e,111.0
e,n,119.0
e,s,104.0
s,SPACE,200.0
SPACE,i,1283.0
n,SPACE,182.0
SPACE,t,188.0
t,h,151.0
s,SPACE,72.0
SPACE,s,94.0
SPACE,t,8327.0
t,h,80.0
BACKSPACE,BACKSPACE,87.0
SPACE,i,183.0
s,SPACE,23.0
SPACE,a,44.0
SPACE,t,568.0
t,e,47.0
e,s,119.0
t,SPACE,583.0
SPACE,t,118.0
o,SPACE,193.0
SPACE,s,126.0
s,e,370.0
e,SPACE,457.0
SPACE,i,311.0
SPACE,t,13.0
t,h,32.0
e,SPACE,80.0
s,SPACE,889.0
SPACE,t,544.0
t,h,135.0
t,SPACE,743.0
SPACE,i,277.0
SPACE,t,70.0
e,SPACE,104.0
SPACE,a,399.0
r,e,120.0
e,SPACE,409.0
e,SPACE,135.0
SPACE,t,140.0
o,SPACE,282.0
SPACE,t,528.0
t,h,30.0
e,r,113.0
r,e,87.0
e,SPACE,490.0
SPACE,a,238.0
r,e,143.0
e,SPACE,111.0
SPACE,t,63.0
t,e,321.0
o,SPACE,537.0
SPACE,s,108.0
s,e,143.0
e,n,71.0
t,e,135.0
e,n,31.0
e,s,143.0
s,SPACE,96.0
n,SPACE,144.0
SPACE,t,118.0
t,h,104.0
s,SPACE,64.0
SPACE,s,578.0
t,h,64.0
s,SPACE,523.0
SPACE,i,280.0
s,SPACE,88.0
SPACE,a,79.0
SPACE,t,206.0
t,e,72.0
e,s,104.0
t,SPACE,663.0
SPACE,t,164.0
o,SPACE,466.0
SPACE,s,46.0
s,e,136.0
e,SPACE,104.0
SPACE,i,1069.0
SPACE,t,28.0
t,h,48.0
e,SPACE,56.0
s,SPACE,280.0
SPACE,t,234.0
t,h,111.0
BACKSPACE,BACKSPACE,-880.0
BACKSPACE,BACKSPACE,-829.0
BACKSPACE,BACKSPACE,-779.0
BACKSPACE,BACKSPACE,-729.0
BACKSPACE,BACKSPACE,-680.0
BACKSPACE,BACKSPACE,-629.0
BACKSPACE,BACKSPACE,-579.0
BACKSPACE,BACKSPACE,-530.0
BACKSPACE,BACKSPACE,-49.0
s,SPACE,39.0
SPACE,t,177.0
t,h,134.0
t,SPACE,200.0
SPACE,i,190.0
SPACE,t,55.0
e,SPACE,88.0
SPACE,a,449.0
r,e,112.0
e,SPACE,176.0
e,SPACE,241.0
SPACE,t,116.0
o,SPACE,240.0
SPACE,t,572.0
t,h,137.0
e,r,96.0
r,e,96.0
e,SPACE,112.0
SPACE,a,181.0
r,e,104.0
e,SPACE,867.0
SPACE,t,197.0
o,SPACE,522.0
SPACE,s,91.0
s,e,119.0
e,n,71.0
t,e,96.0
e,n,0.0
e,s,95.0
s,SPACE,1058.0
SPACE,i,287.0
n,SPACE,111.0
SPACE,t,47.0
t,h,64.0
s,SPACE,40.0
SPACE,s,119.0
BACKSPACE,BACKSPACE,88.0
t,h,80.0
s,SPACE,32.0
SPACE,i,131.0
s,SPACE,40.0
SPACE,a,70.0
SPACE,t,280.0
t,e,33.0
e,s,72.0
t,SPACE,629.0
SPACE,t,151.0
o,SPACE,191.0
SPACE,s,117.0
s,e,231.0
e,SPACE,264.0
SPACE,i,674.0
SPACE,t,37.0
t,h,23.0
e,SPACE,88.0
s,SPACE,241.0
SPACE,t,271.0
t,h,136.0
t,SPACE,654.0
SPACE,i,472.0
SPACE,t,69.0
e,SPACE,88.0
SPACE,a,142.0
r,e,120.0
e,SPACE,426.0
e,SPACE,72.0
SPACE,t,125.0
o,SPACE,206.0
SPACE,t,889.0
t,h,144.0
e,r,103.0
r,e,96.0
e,SPACE,119.0
SPACE,a,135.0
r,e,96.0
e,SPACE,586.0
SPACE,t,173.0
o,SPACE,359.0
SPACE,s,70.0
s,e,135.0
e,n,-19.0
t,e,119.0
e,n,-21.0
e,s,120.0
s,SPACE,88.0
SPACE,i,1159.0
n,SPACE,144.0
SPACE,t,117.0
t,h,31.0
s,SPACE,32.0
SPACE,s,124.0
BACKSPACE,BACKSPACE,104.0
BACKSPACE,BACKSPACE,107.0
t,h,56.0
s,SPACE,32.0
SPACE,i,141.0
s,SPACE,17.0
SPACE,a,382.0
SPACE,t,111.0
t,e,136.0
e,s,120.0
t,SPACE,167.0
SPACE,t,2673.0
o,SPACE,303.0
SPACE,s,46.0
s,e,112.0
e,SPACE,56.0
SPACE,i,174.0
SPACE,t,6.0
t,h,78.0
e,SPACE,32.0
s,SPACE,844.0
SPACE,t,319.0
t,h,135.0
t,SPACE,330.0
SPACE,i,197.0
SPACE,t,61.0
e,SPACE,72.0
SPACE,a,481.0
r,e,129.0
e,SPACE,442.0
e,SPACE,96.0
SPACE,t,95.0
o,SPACE,240.0
SPACE,t,306.0
t,h,111.0
e,r,2.0
r,e,110.0
e,SPACE,31.0
SPACE,a,192.0
r,e,103.0
e,SPACE,616.0
SPACE,t,237.0
o,SPACE,385.0
SPACE,s,60.0
s,e,114.0
e,n,-26.0
t,e,87.0
e,n,16.0
e,s,96.0
s,SPACE,1670.0
SPACE,i,107.0
n,SPACE,135.0
SPACE,t,50.0
t,h,55.0
s,SPACE,56.0
SPACE,s,176.0
BACKSPACE,BACKSPACE,393.0
t,h,56.0
s,SPACE,80.0
SPACE,i,133.0
s,SPACE,47.0
SPACE,a,93.0
SPACE,t,573.0
t,e,39.0
e,s,111.0
t,SPACE,514.0
SPACE,t,69.0
o,SPACE,281.0
SPACE,s,157.0
s,e,160.0
e,SPACE,112.0
SPACE,i,166.0
SPACE,t,22.0
t,h,40.0
e,SPACE,72.0
s,SPACE,88.0
SPACE,t,875.0
t,h,131.0
t,SPACE,434.0
SPACE,i,278.0
SPACE,t,44.0
e,SPACE,546.0
SPACE,a,229.0
r,e,143.0
e,SPACE,297.0
e,SPACE,112.0
SPACE,t,134.0
o,SPACE,184.0
SPACE,t,331.0
t,h,119.0
e,r,104.0
r,e,79.0
e,SPACE,127.0
SPACE,a,543.0
r,e,95.0
e,SPACE,127.0
SPACE,t,43.0
o,SPACE,232.0
SPACE,s,494.0
s,e,112.0
e,n,17.0
t,e,185.0
e,n,40.0
e,s,183.0
s,SPACE,800.0
SPACE,i,133.0
n,SPACE,145.0
SPACE,t,62.0
t,h,120.0
s,SPACE,545.0
SPACE,s,123.0
BACKSPACE,BACKSPACE,104.0
BACKSPACE,BACKSPACE,529.0
SPACE,s,67.0
t,h,39.0
s,SPACE,223.0
SPACE,i,570.0
s,SPACE,57.0
SPACE,a,38.0
SPACE,t,500.0
t,e,64.0
e,s,113.0
t,SPACE,788.0
SPACE,t,63.0
o,SPACE,168.0
SPACE,s,134.0
s,e,144.0
e,SPACE,63.0
SPACE,i,165.0
SPACE,t,0.0
t,h,71.0
e,SPACE,30.0
s,SPACE,152.0
