EID,Xvalue,Yvalue,Zvalue,time
0,-0.6061354875564575,1.193096160888672,-0.34514567255973816,2017-05-10 10:47:38.913
1,-0.6103965044021606,1.1696603298187256,-0.3877562582492829,2017-05-10 10:47:38.921
2,-0.6764429211616516,1.1739214658737185,-0.4186489284038544,2017-05-10 10:47:38.932
3,-0.7520766854286194,1.0460896492004397,-0.4335626363754273,2017-05-10 10:47:38.940
4,-0.8181231021881104,0.7712514400482178,-0.4527373909950256,2017-05-10 10:47:38.951
5,-0.9406285285949708,0.4048005044460297,-0.4356931746006012,2017-05-10 10:47:38.960
6,-1.0855045318603516,-0.03302319720387459,-0.4058657586574553,2017-05-10 10:47:38.970
7,-1.1952266693115234,-0.3611246645450592,-0.3238403797149658,2017-05-10 10:47:38.980
8,-1.2527509927749634,-0.4857605993747711,-0.16618125140666962,2017-05-10 10:47:38.990
9,-1.187769889831543,-0.09054747968912123,0.037284255027771,2017-05-10 10:47:39.000
10,-0.9704559445381165,0.7115966677665709,0.26631611585617065,2017-05-10 10:47:39.011
11,-0.6743124127388,1.5190671682357788,0.546480655670166,2017-05-10 10:47:39.020
12,-0.2737729549407959,2.264752149581909,0.7574030160903931,2017-05-10 10:47:39.031
13,0.09906959533691406,2.996588945388794,0.69561767578125,2017-05-10 10:47:39.040
14,0.1438107043504715,3.210707187652588,0.3685815036296845,2017-05-10 10:47:39.050
15,0.02876213937997818,2.4181504249572754,-0.011717909015715122,2017-05-10 10:47:39.061
16,-0.03195793181657791,0.9864348769187928,-0.3206445872783661,2017-05-10 10:47:39.071
17,-0.047936901450157166,-0.5081311464309692,-0.5763080716133118,2017-05-10 10:47:39.081
18,0.06285060197114943,-1.679922103881836,-0.8159925937652588,2017-05-10 10:47:39.091
19,0.3739078342914581,-2.2988407611846924,-1.0162622928619385,2017-05-10 10:47:39.104
20,0.6093312501907349,-2.085787773132324,-1.143028736114502,2017-05-10 10:47:39.111
21,0.6018744111061096,-1.267664670944214,-1.0940265655517578,2017-05-10 10:47:39.121
22,0.3760383427143097,-0.8351673483848572,-0.7563377618789673,2017-05-10 10:47:39.132
23,0.13635385036468506,-0.7733820080757141,-0.4538026452064514,2017-05-10 10:47:39.142
24,0.001065264455974102,-0.4175836741924286,-0.3004045784473419,2017-05-10 10:47:39.151
25,-0.13635385036468506,0.447411060333252,-0.2599245309829712,2017-05-10 10:47:39.161
26,-0.1992044597864151,1.3709954023361206,-0.3387540876865387,2017-05-10 10:47:39.171
27,-0.2695119082927704,1.8354506492614744,-0.4506068527698517,2017-05-10 10:47:39.181
28,-0.4218447208404541,1.7992316484451294,-0.5731122493743896,2017-05-10 10:47:39.191
29,-0.44634580612182617,1.262338399887085,-0.6231797337532043,2017-05-10 10:47:39.201
30,-0.3387540876865387,0.4538026452064514,-0.5890912413597107,2017-05-10 10:47:39.211
31,-0.24181503057479856,-0.04687163606286049,-0.4878911077976227,2017-05-10 10:47:39.222
32,-0.2034655064344406,-0.09374327212572098,-0.43675842881202703,2017-05-10 10:47:39.230
33,-0.12463594228029252,0.07137271761894226,-0.3494067490100861,2017-05-10 10:47:39.241
34,-0.09161274135112762,0.4229099750518799,-0.2588592767715454,2017-05-10 10:47:39.250
35,-0.12783172726631165,0.9012137055397034,-0.1384843736886978,2017-05-10 10:47:39.261
36,-0.21198762953281405,1.3827133178710938,-0.07137271761894226,2017-05-10 10:47:39.272
37,-0.26631611585617065,1.7864484786987305,-0.07563377916812898,2017-05-10 10:47:39.282
