EID,Xvalue,Yvalue,pressure,touchMajor,touchMinor,pointerID,fingerOrientation,actionType,time
0,1020.234375,1663.125,1.0,1.46484375,1.46484375,0,0.0,0.0,2017-4-30 13:47:4:282
1,1021.2890625,1661.875,1.0,1.953125,1.46484375,0,0.0,,null
2,1021.9550170898438,1661.4803466796875,1.0,1.953125,1.46484375,0,0.0,2.0,2017-4-30 13:47:4:304
3,1022.34375,1661.25,1.0,1.953125,1.46484375,0,0.0,,null
4,1022.34375,1658.75,1.0,2.9296875,2.9296875,0,0.0,,null
5,1022.34375,1658.603271484375,1.0,2.9296875,2.9296875,0,0.0,2.0,2017-4-30 13:47:4:321
6,1021.2890625,1651.875,1.0,2.9296875,1.953125,0,0.0,,null
7,1020.83935546875,1648.943603515625,1.0,2.9296875,1.953125,0,0.0,2.0,2017-4-30 13:47:4:338
8,1020.234375,1638.75,1.0,3.41796875,1.953125,0,0.0,,null
9,1020.234375,1623.0474853515625,1.0,3.41796875,1.953125,0,0.0,2.0,2017-4-30 13:47:4:354
10,1020.234375,1620.0,1.0,3.41796875,1.953125,0,0.0,,null
11,1021.2890625,1598.75,1.0,3.90625,3.90625,0,0.0,,null
12,1021.5912475585938,1592.661376953125,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-30 13:47:4:371
13,1022.34375,1578.75,1.0,2.9296875,2.9296875,0,0.0,,null
14,1023.084716796875,1566.8946533203125,1.0,2.9296875,2.9296875,0,0.0,2.0,2017-4-30 13:47:4:388
15,1023.3984375,1561.875,1.0,3.41796875,3.41796875,0,0.0,,null
16,1024.453125,1548.125,1.0,3.41796875,1.953125,0,0.0,,null
17,1024.569580078125,1546.607421875,1.0,3.41796875,1.953125,0,0.0,2.0,2017-4-30 13:47:4:405
18,1025.15625,1536.875,1.0,3.41796875,1.953125,0,0.0,,null
19,1026.90478515625,1532.0394287109375,1.0,3.41796875,1.953125,0,0.0,2.0,2017-4-30 13:47:4:422
20,1028.3203125,1528.125,1.0,3.41796875,1.953125,0,0.0,,null
21,1031.1328125,1518.75,1.0,2.9296875,2.9296875,0,0.0,,null
22,1031.1800537109377,1518.5924072265625,1.0,2.9296875,2.9296875,0,0.0,2.0,2017-4-30 13:47:4:439
23,1034.296875,1510.0,1.0,2.9296875,2.9296875,0,0.0,,null
24,1035.6904296875,1506.14599609375,1.0,2.9296875,2.9296875,0,0.0,2.0,2017-4-30 13:47:4:455
25,1038.1640625,1500.0,1.0,4.39453125,2.9296875,0,0.0,,null
26,1041.74755859375,1491.5057373046875,1.0,4.39453125,2.9296875,0,0.0,2.0,2017-4-30 13:47:4:472
27,1042.3828125,1490.0,1.0,4.39453125,2.9296875,0,0.0,,null
28,1047.3046875,1480.0,1.0,4.39453125,2.9296875,0,0.0,,null
29,1047.624267578125,1479.3505859375,1.0,4.39453125,2.9296875,0,0.0,2.0,2017-4-30 13:47:4:489
30,1052.2265625,1470.0,1.0,4.39453125,2.9296875,0,0.0,,null
31,1055.8583984375,1463.54345703125,1.0,4.39453125,2.9296875,0,0.0,2.0,2017-4-30 13:47:4:505
32,1057.1484375,1461.25,1.0,4.39453125,2.9296875,0,0.0,,null
33,1062.421875,1451.875,1.0,4.39453125,2.9296875,0,0.0,,null
34,1063.244873046875,1450.411865234375,1.0,4.39453125,2.9296875,0,0.0,2.0,2017-4-30 13:47:4:524
35,1066.2890625,1445.0,1.0,4.39453125,2.9296875,0,0.0,,null
36,1068.08935546875,1442.155029296875,1.0,4.39453125,2.9296875,0,0.0,2.0,2017-4-30 13:47:4:539
37,1069.453125,1440.0,1.0,3.90625,2.9296875,0,0.0,,null
38,1072.265625,1436.25,1.0,2.9296875,2.9296875,0,0.0,,null
39,1072.3009033203123,1436.2030029296875,1.0,2.9296875,2.9296875,0,0.0,2.0,2017-4-30 13:47:4:556
40,1075.4296875,1431.875,1.0,3.41796875,1.953125,0,0.0,,null
41,1075.80126953125,1431.3612060546875,1.0,3.41796875,1.953125,0,0.0,2.0,2017-4-30 13:47:4:573
42,1078.2421875,1428.125,1.0,3.41796875,1.953125,0,0.0,,null
43,1080.9674072265623,1424.3568115234375,1.0,3.41796875,1.953125,0,0.0,2.0,2017-4-30 13:47:4:589
44,1081.40625,1423.75,1.0,3.41796875,1.953125,0,0.0,,null
45,1085.2734375,1420.0,1.0,3.41796875,1.953125,0,0.0,,null
46,1086.394775390625,1418.91259765625,1.0,3.41796875,1.953125,0,0.0,2.0,2017-4-30 13:47:4:606
47,1088.4375,1416.25,1.0,3.41796875,3.41796875,0,0.0,,null
48,1090.4312744140623,1413.1485595703125,1.0,3.41796875,3.41796875,0,0.0,2.0,2017-4-30 13:47:4:623
49,1091.25,1411.875,1.0,3.41796875,3.41796875,0,0.0,,null
50,1094.4140625,1408.125,1.0,3.90625,3.90625,0,0.0,,null
51,1094.8468017578123,1407.6121826171875,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-30 13:47:4:640
52,1097.2265625,1403.75,1.0,3.90625,3.90625,0,0.0,,null
53,1098.6328125,1401.5625,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-30 13:47:4:656
54,1100.390625,1398.75,1.0,3.90625,3.90625,0,0.0,,null
55,1102.0869140625,1395.13134765625,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-30 13:47:4:673
56,1102.1484375,1395.0,1.0,3.90625,3.90625,0,0.0,,null
57,1104.2578125,1391.25,1.0,3.90625,3.90625,0,0.0,,null
58,1105.1221923828123,1389.7132568359375,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-30 13:47:4:690
59,1106.3671875,1386.875,1.0,3.90625,3.90625,0,0.0,,null
60,1108.1131591796877,1383.7711181640625,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-30 13:47:4:707
61,1108.4765625,1383.125,1.0,3.90625,3.90625,0,0.0,,null
62,1110.234375,1380.0,1.0,3.90625,3.90625,0,0.0,,null
63,1110.6756591796877,1379.215576171875,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-30 13:47:4:723
64,1112.34375,1378.125,1.0,3.90625,3.90625,0,0.0,,null
65,1113.7628173828123,1377.2840576171875,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-30 13:47:4:740
66,1114.453125,1376.875,1.0,3.90625,3.90625,0,0.0,,null
67,1115.15625,1375.0,1.0,3.41796875,3.41796875,0,0.0,,null
68,1115.2198486328123,1374.8302001953125,1.0,3.41796875,3.41796875,0,0.0,2.0,2017-4-30 13:47:4:757
69,1116.2109375,1373.125,1.0,3.41796875,3.41796875,0,0.0,,null
70,1116.73828125,1372.1875,1.0,3.41796875,3.41796875,0,0.0,2.0,2017-4-30 13:47:4:773
71,1117.265625,1370.625,1.0,3.41796875,3.41796875,0,0.0,,null
72,1118.26611328125,1368.8463134765625,1.0,3.41796875,3.41796875,0,0.0,2.0,2017-4-30 13:47:4:790
73,1118.3203125,1368.75,1.0,3.90625,3.90625,0,0.0,,null
74,1119.375,1366.875,1.0,3.90625,3.90625,0,0.0,,null
75,1119.71435546875,1366.271728515625,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-30 13:47:4:807
76,1120.4296875,1365.0,1.0,3.90625,3.90625,0,0.0,,null
77,1121.2548828125,1363.5328369140625,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-30 13:47:4:824
78,1121.484375,1363.125,1.0,3.90625,3.90625,0,0.0,,null
79,1122.1875,1360.0,1.0,3.90625,3.90625,0,0.0,,null
80,1122.3411865234377,1359.316650390625,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-30 13:47:4:841
81,1123.2421875,1358.125,1.0,3.90625,3.90625,0,0.0,,null
82,1123.9112548828123,1356.5389404296875,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-30 13:47:4:857
83,1124.296875,1355.625,1.0,3.90625,3.90625,0,0.0,,null
84,1125.3515625,1353.75,1.0,3.90625,3.90625,0,0.0,,null
85,1125.41845703125,1353.631103515625,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-30 13:47:4:874
86,1126.40625,1351.875,1.0,3.90625,3.90625,0,0.0,,null
87,1126.91650390625,1350.9677734375,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-30 13:47:4:891
88,1126.40625,1348.75,1.0,3.90625,3.90625,0,0.0,,null
89,1127.3660888671875,1347.0435791015625,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-30 13:47:4:908
90,1127.4609375,1346.875,1.0,3.90625,3.90625,0,0.0,,null
91,1128.1640625,1345.0,1.0,3.90625,3.90625,0,0.0,,null
92,1128.4002685546875,1344.3702392578125,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-30 13:47:4:924
93,1128.1640625,1343.125,1.0,3.90625,3.90625,0,0.0,,null
94,1128.9378662109375,1341.2908935546875,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-30 13:47:4:941
95,1129.21875,1340.625,1.0,3.90625,3.90625,0,0.0,,null
96,1130.2734375,1338.75,1.0,3.41796875,3.41796875,0,0.0,,null
97,1130.475341796875,1338.39111328125,1.0,3.41796875,3.41796875,0,0.0,2.0,2017-4-30 13:47:4:957
98,1130.2734375,1336.875,1.0,3.41796875,3.41796875,0,0.0,,null
99,1130.907470703125,1335.7479248046875,1.0,3.41796875,3.41796875,0,0.0,2.0,2017-4-30 13:47:4:974
100,1131.328125,1335.0,1.0,3.41796875,3.41796875,0,0.0,,null
101,1132.3828125,1333.125,1.0,3.41796875,3.41796875,0,0.0,,null
102,1132.4158935546875,1333.0662841796875,1.0,3.41796875,3.41796875,0,0.0,2.0,2017-4-30 13:47:4:992
103,1133.4375,1330.625,1.0,3.41796875,3.41796875,0,0.0,,null
104,1133.8614501953125,1329.6201171875,1.0,3.41796875,3.41796875,0,0.0,2.0,2017-4-30 13:47:5:008
105,1133.4375,1328.125,1.0,3.41796875,3.41796875,0,0.0,,null
106,1133.4375,1325.40234375,1.0,3.41796875,3.41796875,0,0.0,2.0,2017-4-30 13:47:5:024
107,1133.4375,1325.0,1.0,3.41796875,3.41796875,0,0.0,,null
108,1134.4921875,1321.875,1.0,3.41796875,3.41796875,0,0.0,,null
109,1134.8150634765625,1320.918212890625,1.0,3.41796875,3.41796875,0,0.0,2.0,2017-4-30 13:47:5:041
110,1134.4921875,1320.0,1.0,3.41796875,3.41796875,0,0.0,,null
111,1134.4921875,1317.739501953125,1.0,3.41796875,3.41796875,0,0.0,2.0,2017-4-30 13:47:5:058
112,1134.4921875,1316.875,1.0,3.41796875,3.41796875,0,0.0,,null
113,1134.4921875,1315.0,1.0,3.90625,3.90625,0,0.0,,null
114,1134.4921875,1314.763427734375,1.0,3.90625,3.90625,0,0.0,2.0,2017-4-30 13:47:5:074
115,1135.1953125,1311.875,1.0,4.8828125,3.41796875,0,0.0,,null
116,1135.7752685546875,1310.8438720703125,1.0,4.8828125,3.41796875,0,0.0,2.0,2017-4-30 13:47:5:091
117,1136.25,1310.0,1.0,4.8828125,3.41796875,0,0.0,,null
118,1137.288818359375,1308.153076171875,1.0,4.8828125,3.41796875,0,0.0,2.0,2017-4-30 13:47:5:108
119,1137.3046875,1308.125,1.0,4.8828125,3.41796875,0,0.0,,null
120,1138.359375,1305.625,1.0,4.39453125,2.9296875,0,0.0,,null
121,1138.788330078125,1304.608154296875,1.0,4.39453125,2.9296875,0,0.0,2.0,2017-4-30 13:47:5:124
